Time,Risk Score
0,4.401822554732097
60,4.397173169598395
120,4.383254458679683
180,4.360154444856117
240,4.328018802287253
300,4.287049326403877
360,4.24433956536986
420,4.188653361419874
480,4.124995800244172
540,4.053754289790233
600,3.975357436634607
660,3.890270755886293
720,3.7989920752568582
780,3.7020466966606334
840,3.599982380943408
900,3.4933642224342676
960,3.3827694799775845
1020,3.2687824299592054
1080,3.151989304643423
1140,3.0329733759568023
1200,2.9123102407800854
1260,2.7905633589464194
1320,2.668279889609467
1380,2.5459868655673104
1440,2.424187738640088
1500,2.303359322438813
1560,2.183949151965836
1620,2.066373272587998
1680,1.9510144641488651
1740,1.8382208994554166
1800,1.7283052301950932
1860,1.6215440876062204
1920,1.6394323578034566
1980,1.5435393860834645
2040,1.5550481098635778
2100,1.469854385320342
2160,1.3876135258855065
2220,1.3083971233379852
2280,1.2322541955793427
2340,1.3058650269948329
2400,1.5377437194288412
2460,1.477842878508513
2520,1.7292808551784329
2580,1.6764693176155512
2640,1.623962005580904
2700,1.5717593929624385
2760,1.8474433261281167
2820,2.7923423405434082
2880,2.918175709300608
2940,3.213491605143385
3000,3.5091509930727725
3060,3.638309207211969
3120,3.5871401642181104
3180,3.5298860043185947
3240,3.466833748800148
3300,3.3983023826156193
3360,3.324639790163123
3420,3.246219443473469
3480,3.163436888035567
3540,3.076706073444825
3600,2.9864555772152492
3660,2.8931247704490817
3720,2.797159973621598
3780,2.8796466731492822
3840,2.7798388061889923
3900,2.7991234321540017
3960,2.8818235065327182
4020,2.9632618834907904
4080,2.861367528148225
4140,2.7581116551904272
4200,2.6539100238991176
4260,2.5491666065707133
4320,2.5356070103707093
4380,2.4353316281038624
4440,2.335159985409602
4500,2.3931519896931728
4560,2.435407630815683
4620,2.341892231694839
4680,2.2485918964150224
4740,2.1557756261521526
4800,2.254921093235435
4860,2.1703097023378515
4920,2.0861008109819505
4980,2.0024907588501044
5040,1.9196648741794757
5100,1.8377972839255818
5160,1.9174190264789888
5220,1.8397965776797165
5280,1.9272730793005801
5340,1.8527639218255982
5400,1.7788830873501158
5460,1.7057640783546204
5520,1.633534218881504
5580,1.5623144888757254
5640,1.4922193550579854
5700,1.4233566003911302
5760,1.5185182487148627
5820,1.9644948693790028
5880,3.1002795768615936
5940,0
6000,0
6060,0
6120,0
6180,0
6240,0
6300,0
6360,0
6420,0
6480,0
6540,0
6600,0
6660,0
6720,0
6780,0
6840,3.4877094594363984
6900,3.230710974716313
6960,3.284673579227575
7020,3.17795539757288
7080,3.0684727808171655
7140,2.95675307583502
7200,2.843318985263205
7260,2.7286845431658087
7320,2.692358337364137
7380,2.58152549398856
7440,2.47051332304267
7500,2.3597525507125736
7560,2.249652985923675
7620,2.140601331311812
7680,2.032959324634882
7740,1.927062215887759
7800,1.82321758049914
7860,1.7217044643589443
7920,1.6227728521174103
7980,1.5266434462703493
8040,1.4335077410464183
8100,1.3435283720776747
8160,1.2568397202887307
8220,1.1735487463958407
8280,1.093736030867823
8340,1.0174569931584323
8400,0.9447432634578234
8460,0.8756041801042544
8520,0.992408666230652
8580,0.9299946185722382
8640,0.8706658604926274
8700,0.8143665944191035
8760,0.761029374759137
8820,0.7105767677741889
8880,0.6629229530299845
8940,0.6179752517877792
9000,0.5756355701393595
9060,0.5358017471095589
9120,0.49836880031076913
9180,0.4632300639960481
9240,0.4302782164881616
9300,0.39940619593394316
9360,0.5443856794530855
9420,0.5180676995984705
9480,0.4930396016828716
9540,0.6458213058046239
9600,0.6233372314669313
9660,0.6014380684556259
