Driver,Sector,Std
Marc Miller,2,9.808017484583273
Marc Miller,3,9.825653954337366
Katherine Legge,1,8.038969159641047
Katherine Legge,2,9.808017484583273
Katherine Legge,3,9.825653954337366
Bryan Sellers,1,8.038969159641047
Bryan Sellers,2,9.808017484583273
Bryan Sellers,3,9.825653954337366
Jeff Westphal,1,8.038969159641047
Jeff Westphal,2,9.808017484583273
Jeff Westphal,3,9.825653954337366
Laurens Vanthoor,1,8.038969159641047
Laurens Vanthoor,2,9.808017484583273
Laurens Vanthoor,3,9.825653954337366
Loic Duval,1,8.038969159641047
Loic Duval,2,9.808017484583273
Loic Duval,3,9.825653954337366
Oliver Jarvis,1,8.038969159641047
Oliver Jarvis,2,9.808017484583273
Oliver Jarvis,3,9.825653954337366
Renger van der Zande,1,8.038969159641047
Renger van der Zande,2,9.808017484583273
Renger van der Zande,3,9.825653954337366
Ricky Taylor,1,8.038969159641047
Ricky Taylor,2,9.808017484583273
Ricky Taylor,3,9.825653954337366
Bill Auberlen,1,8.038969159641047
Bill Auberlen,2,9.808017484583273
Bill Auberlen,3,9.825653954337366
