Driver,Var
Harry Tincknell,41.651785888657656
Filipe Albuquerque,34.35147796604671
Pipo Derani,4.819962409722222
Kevin Magnussen,33.6196607265869
Dane Cameron,3.2322022255859406
Tristan Vautier,36.721844815857516
Gar Robinson,3.2508425748392966
Jarett Andretti,139.18606384756657
Jonathan Bennett,65.14517323966943
Lance Willsey,12.448087277343753
Dan Goldburg,2.8819878236914627
Jim Cox,4.054387811523437
Aaron Telitz,2.149795053710939
Robby Foley,35.10774704757786
Daniel Morad,1.0916682636686397
Frankie Montecalvo,2.6414156686851227
Madison Snow,1.3660976622222212
Roman De Angelis,1.4513843217993083
Richard Heistand,54.84547428444444
Jeff Kingsley,1.9637372525252526
Till Bechtolsheimer,70.51814820761246
Zacharie Robichon,1.3165281058601124
Ryan Hardwick,2.1798807221644108
Rob Ferriol,1.8504119599783682
John Potter,2.4245602883379274
Felipe Nasr,25.558606455013877
Olivier Pla,41.268908600865245
Patrick Long,0.5888162067275553
Dylan Murry,1.580024731204127
Jack Hawksworth,33.16973658477507
Joao Barbosa,3.574235274350325
Felipe Fraga,1.351963256893472
Michael de Quesada,0.38243174204081426
Colin Braun,6.947791323469386
Rasmus Lindh,0.8666922939892886
Oliver Askew,10.834228124374993
Mario Farnbacher,1.378580204054358
Andy Lally,1.025729353530855
Zach Veach,1.05973236271809
Ross Gunn,1.1816204694674008
Marc Miller,32.77666974059171
Katherine Legge,0.955492821428571
Bryan Sellers,29.97838210049587
Jeff Westphal,25.338769276033048
Laurens Vanthoor,0.44701795336076766
Loic Duval,1.2379134097633142
Oliver Jarvis,1.7865408000000018
Renger van der Zande,8.56900516867972
Ricky Taylor,1.171764760411034
Bill Auberlen,0.2884731240234367
