Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
55,DPi,Harry Tincknell,1,1:53.480,1900-01-01 00:01:53.480000,Green,Track,27.654,47.747,38.077
10,DPi,Filipe Albuquerque,1,1:54.489,1900-01-01 00:01:54.489000,Green,Track,27.771,47.83,38.679
31,DPi,Pipo Derani,1,1:54.735,1900-01-01 00:01:54.735000,Green,Track,27.553,47.665,38.778
1,DPi,Kevin Magnussen,1,1:55.406,1900-01-01 00:01:55.406000,Green,Track,27.349,47.909,39.035
60,DPi,Dane Cameron,1,1:55.710,1900-01-01 00:01:55.710000,Green,Track,25.781,47.456,39.069
5,DPi,Tristan Vautier,1,1:56.155,1900-01-01 00:01:56.155000,Green,Track,26.357,47.516000000000005,39.6
74,LMP3,Gar Robinson,1,2:00.377,1900-01-01 00:02:00.377000,Green,Track,25.212,48.65,41.942
36,LMP3,Jarett Andretti,1,2:00.687,1900-01-01 00:02:00.687000,Green,Track,24.235,48.173,41.943999999999996
54,LMP3,Jonathan Bennett,1,2:01.333,1900-01-01 00:02:01.333000,Green,Track,24.701,48.45,42.582
33,LMP3,Lance Willsey,1,2:01.878,1900-01-01 00:02:01.878000,Green,Track,21.971999999999998,48.196000000000005,42.696000000000005
38,LMP3,Dan Goldburg,1,2:02.150,1900-01-01 00:02:02.150000,Green,Track,21.679000000000002,47.886,42.556000000000004
91,LMP3,Jim Cox,1,2:03.413,1900-01-01 00:02:03.413000,Green,Track,22.15,48.637,43.16
14,GTD,Aaron Telitz,1,2:27.297,1900-01-01 00:02:27.297000,Green,Track,28.644000000000002,51.661,41.78
96,GTD,Robby Foley,1,2:28.142,1900-01-01 00:02:28.142000,Green,Track,28.037,51.847,42.303999999999995
28,GTD,Daniel Morad,1,2:28.914,1900-01-01 00:02:28.914000,Green,Track,28.272,51.318000000000005,42.783
12,GTD,Frankie Montecalvo,1,2:29.143,1900-01-01 00:02:29.143000,Green,Track,27.643,51.153999999999996,43.055
1,GTD,Madison Snow,1,2:29.691,1900-01-01 00:02:29.691000,Green,Track,27.971,50.863,43.244
23,GTD,Roman De Angelis,1,2:29.991,1900-01-01 00:02:29.991000,Green,Track,26.945,50.872,43.32
39,GTD,Richard Heistand,1,2:30.429,1900-01-01 00:02:30.429000,Green,Track,24.811999999999998,50.271,43.503
76,GTD,Jeff Kingsley,1,2:30.863,1900-01-01 00:02:30.863000,Green,Track,26.415,51.126000000000005,43.683
66,GTD,Till Bechtolsheimer,1,2:31.579,1900-01-01 00:02:31.579000,Green,Track,24.283,50.795,44.08
9,GTD,Zacharie Robichon,1,2:31.780,1900-01-01 00:02:31.780000,Green,Track,22.63,49.853,43.542
16,GTD,Ryan Hardwick,1,2:32.365,1900-01-01 00:02:32.365000,Green,Track,23.872,50.481,44.623999999999995
88,GTD,Rob Ferriol,1,2:33.231,1900-01-01 00:02:33.231000,Green,Track,23.189,50.713,45.161
44,GTD,John Potter,1,2:33.422,1900-01-01 00:02:33.422000,Green,Track,23.101,50.308,45.195
55,DPi,Harry Tincknell,2,1:14.501,1900-01-01 00:03:07.981000,Green,Track,10.172,27.441,36.888000000000005
10,DPi,Filipe Albuquerque,2,1:15.123,1900-01-01 00:03:09.612000,Green,Track,10.267000000000001,27.410999999999998,37.445
31,DPi,Pipo Derani,2,1:15.440,1900-01-01 00:03:10.175000,Green,Track,10.34,27.548000000000002,37.552
1,DPi,Kevin Magnussen,2,1:15.372,1900-01-01 00:03:10.778000,Green,Track,10.345,27.408,37.619
60,DPi,Dane Cameron,2,1:15.251,1900-01-01 00:03:10.961000,Green,Track,10.307,27.666999999999998,37.277
5,DPi,Tristan Vautier,2,1:15.563,1900-01-01 00:03:11.718000,Green,Track,10.435,27.522,37.606
74,LMP3,Gar Robinson,2,1:22.417,1900-01-01 00:03:22.794000,Green,Track,11.462,30.176,40.779
36,LMP3,Jarett Andretti,2,1:22.590,1900-01-01 00:03:23.277000,Green,Track,11.706,29.958000000000002,40.926
54,LMP3,Jonathan Bennett,2,1:22.418,1900-01-01 00:03:23.751000,Green,Track,11.468,30.357,40.593
33,LMP3,Lance Willsey,2,1:22.880,1900-01-01 00:03:24.758000,Green,Track,11.39,30.38,41.11
38,LMP3,Dan Goldburg,2,1:23.004,1900-01-01 00:03:25.154000,Green,Track,11.618,30.289,41.097
91,LMP3,Jim Cox,2,1:24.089,1900-01-01 00:03:27.502000,Green,Track,11.535,30.869,41.685
14,GTD,Aaron Telitz,2,1:23.455,1900-01-01 00:03:50.752000,Green,Track,11.806,30.456999999999997,41.192
96,GTD,Robby Foley,2,1:23.748,1900-01-01 00:03:51.890000,Green,Track,11.765999999999998,30.539,41.443000000000005
28,GTD,Daniel Morad,2,1:23.955,1900-01-01 00:03:52.869000,Green,Track,12.022,30.316999999999997,41.61600000000001
12,GTD,Frankie Montecalvo,2,1:24.027,1900-01-01 00:03:53.170000,Green,Track,12.083,30.215,41.729
1,GTD,Madison Snow,2,1:24.487,1900-01-01 00:03:54.178000,Green,Track,11.950999999999999,30.795,41.74100000000001
23,GTD,Roman De Angelis,2,1:24.655,1900-01-01 00:03:54.646000,Green,Track,11.956,30.72,41.979
39,GTD,Richard Heistand,2,1:24.896,1900-01-01 00:03:55.325000,Green,Track,12.099,30.521,42.276
76,GTD,Jeff Kingsley,2,1:24.714,1900-01-01 00:03:55.577000,Green,Track,12.130999999999998,30.563000000000002,42.02
9,GTD,Zacharie Robichon,2,1:24.030,1900-01-01 00:03:55.810000,Green,Track,12.199000000000002,30.358,41.473
66,GTD,Till Bechtolsheimer,2,1:25.615,1900-01-01 00:03:57.194000,Green,Track,12.535,30.846999999999998,42.233000000000004
16,GTD,Ryan Hardwick,2,1:25.363,1900-01-01 00:03:57.728000,Green,Track,12.142000000000001,30.9,42.321000000000005
88,GTD,Rob Ferriol,2,1:24.998,1900-01-01 00:03:58.229000,Green,Track,12.158,30.569000000000003,42.271
44,GTD,John Potter,2,1:25.149,1900-01-01 00:03:58.571000,Green,Track,12.259,30.885,42.005
55,DPi,Harry Tincknell,3,1:13.961,1900-01-01 00:04:21.942000,Green,Track,9.998,27.255,36.708
10,DPi,Filipe Albuquerque,3,1:14.282,1900-01-01 00:04:23.894000,Green,Track,10.075,27.166,37.041
31,DPi,Pipo Derani,3,1:14.303,1900-01-01 00:04:24.478000,Green,Track,10.061,27.241,37.001
1,DPi,Kevin Magnussen,3,1:14.499,1900-01-01 00:04:25.277000,Green,Track,10.213,27.285,37.001
60,DPi,Dane Cameron,3,1:14.605,1900-01-01 00:04:25.566000,Green,Track,10.253,27.467,36.885
5,DPi,Tristan Vautier,3,1:14.607,1900-01-01 00:04:26.325000,Green,Track,10.245999999999999,27.146,37.215
74,LMP3,Gar Robinson,3,1:21.504,1900-01-01 00:04:44.298000,Green,Track,11.402999999999999,29.945,40.156
36,LMP3,Jarett Andretti,3,1:21.615,1900-01-01 00:04:44.892000,Green,Track,11.425,29.768,40.422
54,LMP3,Jonathan Bennett,3,1:21.886,1900-01-01 00:04:45.637000,Green,Track,11.335,30.241,40.31
33,LMP3,Lance Willsey,3,1:21.959,1900-01-01 00:04:46.717000,Green,Track,11.165999999999999,30.226,40.567
38,LMP3,Dan Goldburg,3,1:21.760,1900-01-01 00:04:46.914000,Green,Track,11.253,30.017,40.49
91,LMP3,Jim Cox,3,1:22.638,1900-01-01 00:04:50.140000,Green,Track,11.433,30.275,40.93
14,GTD,Aaron Telitz,3,1:22.849,1900-01-01 00:05:13.601000,Green,Track,11.693,30.325,40.830999999999996
96,GTD,Robby Foley,3,1:22.984,1900-01-01 00:05:14.874000,Green,Track,11.708,30.026999999999997,41.248999999999995
28,GTD,Daniel Morad,3,1:23.379,1900-01-01 00:05:16.248000,Green,Track,11.852,30.103,41.424
12,GTD,Frankie Montecalvo,3,1:23.467,1900-01-01 00:05:16.637000,Green,Track,11.876,30.171,41.42
1,GTD,Madison Snow,3,1:23.832,1900-01-01 00:05:18.010000,Green,Track,11.898,30.485,41.449
23,GTD,Roman De Angelis,3,1:23.704,1900-01-01 00:05:18.350000,Green,Track,11.685,30.675,41.343999999999994
39,GTD,Richard Heistand,3,1:23.640,1900-01-01 00:05:18.965000,Green,Track,11.850999999999999,30.338,41.451
76,GTD,Jeff Kingsley,3,1:23.900,1900-01-01 00:05:19.477000,Green,Track,12.012,30.39,41.498000000000005
9,GTD,Zacharie Robichon,3,1:23.917,1900-01-01 00:05:19.727000,Green,Track,12.139000000000001,30.498,41.28
66,GTD,Till Bechtolsheimer,3,1:24.195,1900-01-01 00:05:21.389000,Green,Track,11.962,30.625,41.608000000000004
16,GTD,Ryan Hardwick,3,1:24.331,1900-01-01 00:05:22.059000,Green,Track,11.912,30.48,41.93899999999999
88,GTD,Rob Ferriol,3,1:24.320,1900-01-01 00:05:22.549000,Green,Track,11.991,30.361,41.968
44,GTD,John Potter,3,1:24.336,1900-01-01 00:05:22.907000,Green,Track,11.870999999999999,30.634,41.831
55,DPi,Harry Tincknell,4,1:13.304,1900-01-01 00:05:35.246000,Green,Track,9.881,26.886,36.537
10,DPi,Filipe Albuquerque,4,1:13.543,1900-01-01 00:05:37.437000,Green,Track,9.91,26.947,36.686
31,DPi,Pipo Derani,4,1:13.870,1900-01-01 00:05:38.348000,Green,Track,10.009,27.068,36.793
60,DPi,Dane Cameron,4,1:14.121,1900-01-01 00:05:39.687000,Green,Track,10.146,27.18,36.795
5,DPi,Tristan Vautier,4,1:14.209,1900-01-01 00:05:40.534000,Green,Track,10.16,27.103,36.946
1,DPi,Kevin Magnussen,4,1:21.826,1900-01-01 00:05:47.103000,Green,Pit,10.142000000000001,27.14,44.544
74,LMP3,Gar Robinson,4,1:20.690,1900-01-01 00:06:04.988000,Green,Track,11.159,29.828000000000003,39.703
36,LMP3,Jarett Andretti,4,1:20.719,1900-01-01 00:06:05.611000,Green,Track,11.214,29.579,39.926
54,LMP3,Jonathan Bennett,4,1:20.889,1900-01-01 00:06:06.526000,Green,Track,11.107000000000001,29.846,39.936
33,LMP3,Lance Willsey,4,1:21.652,1900-01-01 00:06:08.369000,Green,Track,11.062999999999999,30.023000000000003,40.566
38,LMP3,Dan Goldburg,4,1:21.552,1900-01-01 00:06:08.466000,Green,Track,11.382,29.82,40.35
91,LMP3,Jim Cox,4,1:22.480,1900-01-01 00:06:12.620000,Green,Track,11.419,29.923000000000002,41.138000000000005
14,GTD,Aaron Telitz,4,1:22.213,1900-01-01 00:06:35.814000,Green,Track,11.575999999999999,29.936,40.701
96,GTD,Robby Foley,4,1:22.392,1900-01-01 00:06:37.266000,Green,Track,11.704,29.811999999999998,40.876
28,GTD,Daniel Morad,4,1:22.758,1900-01-01 00:06:39.006000,Green,Track,11.779000000000002,30.026999999999997,40.952
