"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"33","LMP3","Joao Barbosa","39","1:19.340","55:29.323","Green","Track","11.417","29.266","38.657"
"74","LMP3","Felipe Fraga","40","1:19.663","55:29.946","Green","Track","11.400","29.225","39.038"
"14","GTD","Jack Hawksworth","39","1:22.411","55:32.153","Green","Track","11.494","30.564","40.353"
"96","GTD","Robby Foley","39","1:22.003","55:34.040","Green","Track","11.580","29.647","40.776"
"88","GTD","Rob Ferriol","39","1:23.702","55:39.435","Green","Track","11.824","30.286","41.592"
"38","LMP3","Rasmus Lindh","40","1:18.520","55:40.188","Green","Track","10.855","28.996","38.669"
"55","DPi","Harry Tincknell","44","1:14.369","55:52.813","Green","Track","10.278","27.189","36.902"
"12","GTD","Zach Veach","39","1:23.002","55:55.858","Green","Track","11.525","30.268","41.209"
"36","LMP3","Oliver Askew","40","1:20.289","55:57.452","Green","Track","10.961","29.126","40.202"
"54","LMP3","Colin Braun","40","1:19.962","55:57.743","Green","Track","10.898","29.082","39.982"
"31","DPi","Felipe Nasr","44","1:15.390","55:58.010","Green","Track","9.916","26.858","38.616"
"28","GTD","Michael de Quesada","39","1:23.470","55:58.599","Green","Track","11.736","29.933","41.801"
"10","DPi","Filipe Albuquerque","44","1:13.209","56:02.754","Green","Track","9.947","26.787","36.475"
"5","DPi","Tristan Vautier","44","1:13.673","56:04.322","Green","Track","10.221","26.841","36.611"
"01","DPi","Kevin Magnussen","44","1:14.426","56:05.993","Green","Track","10.499","26.960","36.967"
"60","DPi","Olivier Pla","44","1:14.581","56:08.312","Green","Track","10.101","27.367","37.113"
"23","GTD","Ross Gunn","39","1:23.348","56:08.937","Green","Track","11.806","30.028","41.514"
"91","LMP3","Dylan Murry","40","1:18.931","56:11.377","Green","Track","10.908","29.176","38.847"
"76","GTD","Mario Farnbacher","39","1:22.829","56:13.437","Green","Track","11.769","29.901","41.159"
"16","GTD","Patrick Long","39","1:22.401","56:19.506","Green","Track","11.653","30.163","40.585"
"66","GTD","Marc Miller","39","1:23.024","56:26.205","Green","Track","11.770","30.295","40.959"
"44","GTD","Andy Lally","39","1:22.282","56:30.658","Green","Track","11.655","30.038","40.589"
"1","GTD","Madison Snow","40","1:23.141","56:33.479","Green","Track","11.781","30.089","41.271"
"9","GTD","Zacharie Robichon","40","1:23.031","56:33.986","Green","Track","11.815","30.079","41.137"
"39","GTD","Richard Heistand","40","1:23.100","56:34.698","Green","Track","11.722","30.256","41.122"
"33","LMP3","Joao Barbosa","40","1:18.534","56:47.857","Green","Track","10.937","29.029","38.568"
"74","LMP3","Felipe Fraga","41","1:18.818","56:48.764","Green","Track","10.956","28.985","38.877"
"14","GTD","Jack Hawksworth","40","1:21.361","56:53.514","Green","Track","11.489","29.762","40.110"
"96","GTD","Robby Foley","40","1:21.699","56:55.739","Green","Track","11.536","29.664","40.499"
"38","LMP3","Rasmus Lindh","41","1:19.250","56:59.438","Green","Track","11.270","29.269","38.711"
"88","GTD","Rob Ferriol","40","1:24.307","57:03.742","Green","Track","11.917","30.785","41.605"
"55","DPi","Harry Tincknell","45","1:12.654","57:05.467","Green","Track","9.906","26.738","36.010"
"31","DPi","Felipe Nasr","45","1:14.281","57:12.291","Green","Track","10.490","27.290","36.501"
"36","LMP3","Oliver Askew","41","1:19.649","57:17.101","Green","Track","11.022","29.534","39.093"
"10","DPi","Filipe Albuquerque","45","1:15.121","57:17.875","Green","Track","10.007","26.833","38.281"
"54","LMP3","Colin Braun","41","1:20.868","57:18.611","Green","Track","11.459","29.077","40.332"
"5","DPi","Tristan Vautier","45","1:14.456","57:18.778","Green","Track","10.137","26.768","37.551"
"01","DPi","Kevin Magnussen","45","1:13.927","57:19.920","Green","Track","10.099","26.842","36.986"
"12","GTD","Zach Veach","40","1:24.084","57:19.942","Green","Track","11.535","30.335","42.214"
"60","DPi","Olivier Pla","45","1:13.661","57:21.973","Green","Track","9.969","26.795","36.897"
"28","GTD","Michael de Quesada","40","1:23.357","57:21.956","Green","Track","11.948","30.087","41.322"
"91","LMP3","Dylan Murry","41","1:19.757","57:31.134","Green","Track","10.967","28.830","39.960"
"23","GTD","Ross Gunn","40","1:23.017","57:31.954","Green","Track","11.750","29.924","41.343"
"76","GTD","Mario Farnbacher","40","1:21.826","57:35.263","Green","Track","11.649","29.747","40.430"
"16","GTD","Patrick Long","40","1:21.922","57:41.428","Green","Track","11.540","29.796","40.586"
"66","GTD","Marc Miller","40","1:22.641","57:48.846","Green","Track","11.693","30.192","40.756"
"44","GTD","Andy Lally","40","1:21.867","57:52.525","Green","Track","11.562","29.845","40.460"
"1","GTD","Madison Snow","41","1:22.761","57:56.240","Green","Track","11.681","29.994","41.086"
"9","GTD","Zacharie Robichon","41","1:22.620","57:56.606","Green","Track","11.624","29.923","41.073"
"39","GTD","Richard Heistand","41","1:22.584","57:57.282","Green","Track","11.678","30.042","40.864"
"33","LMP3","Joao Barbosa","41","1:18.631","58:06.488","Green","Track","10.981","29.052","38.598"
"74","LMP3","Felipe Fraga","42","1:18.395","58:07.159","Green","Track","10.862","28.932","38.601"
"14","GTD","Jack Hawksworth","41","1:21.506","58:15.020","Green","Track","11.463","29.791","40.252"
