"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"6","DPi","Dane Cameron","1","1:49.333","1:49.333","Green","Track","25.363","45.972","37.996"
"31","DPi","Pipo Derani","1","1:50.351","1:50.351","Green","Track","23.876","45.440","38.720"
"55","DPi","Jonathan Bomarito","1","1:50.947","1:50.947","Green","Track","24.228","45.856","39.040"
"7","DPi","Helio Castroneves","1","1:52.022","1:52.022","Green","Track","24.841","46.678","39.820"
"10","DPi","Ryan Briscoe","1","1:52.830","1:52.830","Green","Track","23.346","45.378","40.516"
"77","DPi","Oliver Jarvis","1","1:53.180","1:53.180","Green","Track","22.465","45.383","40.730"
"5","DPi","Sebastien Bourdais","1","1:53.589","1:53.589","Green","Track","22.317","44.399","40.998"
"85","DPi","Gabriel Aubry","1","1:53.990","1:53.990","Green","Track","21.937","44.482","41.144"
"4","GTLM","Oliver Gavin","1","1:55.122","1:55.122","Green","Track","22.069","42.469","41.834"
"3","GTLM","Jordan Taylor","1","1:55.514","1:55.514","Green","Track","22.075","43.730","41.941"
"25","GTLM","Bruno Spengler","1","1:56.708","1:56.708","Green","Track","21.556","42.173","42.835"
"14","GTD","Aaron Telitz","1","1:57.480","1:57.480","Green","Track","21.135","40.905","43.255"
"86","GTD","Matt McMurry","1","1:57.691","1:57.691","Green","Track","20.872","40.374","43.358"
"57","GTD","Misha Goikhberg","1","1:58.133","1:58.133","Green","Track","20.725","40.051","43.321"
"12","GTD","Frankie Montecalvo","1","1:59.715","1:59.715","Green","Track","19.184","38.295","44.624"
"96","GTD","Robby Foley","1","2:00.120","2:00.120","Green","Track","20.061","39.911","45.063"
"22","GTD","Till Bechtolsheimer","1","2:00.732","2:00.732","Green","Track","18.690","37.320","45.281"
"23","GTD","Ian James","1","2:01.182","2:01.182","Green","Track","19.431","39.185","45.816"
"16","GTD","Ryan Hardwick","1","2:01.424","2:01.424","Green","Track","18.885","38.348","45.719"
"74","GTD","Gar Robinson","1","2:01.799","2:01.799","Green","Track","18.790","36.066","45.681"
"44","GTD","John Potter","1","2:02.204","2:02.204","Green","Track","18.448","37.053","46.190"
"76","GTD","Corey Fergus","1","2:02.429","2:02.429","Green","Track","18.355","34.429","45.885"
"30","GTD","Rob Ferriol","1","2:02.848","2:02.848","Green","Track","18.618","35.721","46.532"
"24","GTLM","Jesse Krohn","1","2:24.166","2:24.166","Green","Track","21.528","0.000","0.000"
"6","DPi","Dane Cameron","2","1:15.663","3:04.996","Green","Track","10.189","27.550","37.924"
"31","DPi","Pipo Derani","2","1:15.866","3:06.217","Green","Track","10.233","27.700","37.933"
"55","DPi","Jonathan Bomarito","2","1:16.167","3:07.114","Green","Track","10.252","28.054","37.861"
"7","DPi","Helio Castroneves","2","1:16.755","3:08.777","Green","Track","10.241","27.916","38.598"
"10","DPi","Ryan Briscoe","2","1:17.050","3:09.880","Green","Track","10.327","28.045","38.678"
"77","DPi","Oliver Jarvis","2","1:17.222","3:10.402","Green","Track","10.459","28.119","38.644"
"5","DPi","Sebastien Bourdais","2","1:17.352","3:10.941","Green","Track","10.663","27.818","38.871"
"85","DPi","Gabriel Aubry","2","1:17.400","3:11.390","Green","Track","10.837","28.066","38.497"
"4","GTLM","Oliver Gavin","2","1:22.566","3:17.688","Green","Track","11.629","29.758","41.179"
"3","GTLM","Jordan Taylor","2","1:22.512","3:18.026","Green","Track","11.544","29.957","41.011"
"25","GTLM","Bruno Spengler","2","1:23.119","3:19.827","Green","Track","11.725","30.371","41.023"
"14","GTD","Aaron Telitz","2","1:23.608","3:21.088","Green","Track","11.854","30.379","41.375"
"86","GTD","Matt McMurry","2","1:24.569","3:22.260","Green","Track","12.115","30.410","42.044"
"57","GTD","Misha Goikhberg","2","1:24.406","3:22.539","Green","Track","12.040","30.605","41.761"
"12","GTD","Frankie Montecalvo","2","1:25.414","3:25.129","Green","Track","12.388","31.021","42.005"
"96","GTD","Robby Foley","2","1:25.564","3:25.684","Green","Track","12.128","31.116","42.320"
"22","GTD","Till Bechtolsheimer","2","1:25.487","3:26.219","Green","Track","12.121","30.972","42.394"
"23","GTD","Ian James","2","1:26.103","3:27.285","Green","Track","12.412","31.178","42.513"
"16","GTD","Ryan Hardwick","2","1:26.337","3:27.761","Green","Track","12.415","31.482","42.440"
"74","GTD","Gar Robinson","2","1:26.489","3:28.288","Green","Track","12.458","31.390","42.641"
"76","GTD","Corey Fergus","2","1:26.335","3:28.764","Green","Track","12.640","31.528","42.167"
"44","GTD","John Potter","2","1:27.803","3:30.007","Green","Track","12.575","31.966","43.262"
"30","GTD","Rob Ferriol","2","1:27.781","3:30.629","Green","Track","12.519","31.691","43.571"
"24","GTLM","Jesse Krohn","2","1:22.185","3:46.351","Green","Track","11.574","29.831","40.780"
"6","DPi","Dane Cameron","3","1:14.617","4:19.613","Green","Track","10.135","27.441","37.041"
"31","DPi","Pipo Derani","3","1:14.749","4:20.966","Green","Track","10.146","27.421","37.182"
"55","DPi","Jonathan Bomarito","3","1:15.276","4:22.390","Green","Track","10.220","27.759","37.297"
"7","DPi","Helio Castroneves","3","1:15.526","4:24.303","Green","Track","10.104","27.621","37.801"
"10","DPi","Ryan Briscoe","3","1:15.222","4:25.102","Green","Track","10.117","27.734","37.371"
"77","DPi","Oliver Jarvis","3","1:15.427","4:25.829","Green","Track","10.261","27.602","37.564"
"5","DPi","Sebastien Bourdais","3","1:16.177","4:27.118","Green","Track","10.334","27.538","38.305"
"85","DPi","Gabriel Aubry","3","1:16.082","4:27.472","Green","Track","10.470","27.647","37.965"
"4","GTLM","Oliver Gavin","3","1:22.987","4:40.675","Green","Track","11.501","29.830","41.656"
"3","GTLM","Jordan Taylor","3","1:23.073","4:41.099","Green","Track","11.557","29.623","41.893"
"25","GTLM","Bruno Spengler","3","1:22.303","4:42.130","Green","Track","11.511","29.770","41.022"
"14","GTD","Aaron Telitz","3","1:23.101","4:44.189","Green","Track","11.690","30.292","41.119"
"86","GTD","Matt McMurry","3","1:23.388","4:45.648","Green","Track","11.874","30.283","41.231"
"57","GTD","Misha Goikhberg","3","1:23.876","4:46.415","Green","Track","12.101","30.580","41.195"
"96","GTD","Robby Foley","3","1:24.472","4:50.156","Green","Track","11.947","30.866","41.659"
"22","GTD","Till Bechtolsheimer","3","1:26.388","4:52.607","Green","Track","12.047","30.929","43.412"
"23","GTD","Ian James","3","1:25.810","4:53.095","Green","Track","12.211","30.970","42.629"
"16","GTD","Ryan Hardwick","3","1:25.792","4:53.553","Green","Track","12.195","31.002","42.595"
"74","GTD","Gar Robinson","3","1:25.617","4:53.905","Green","Track","12.014","31.098","42.505"
"76","GTD","Corey Fergus","3","1:25.395","4:54.159","Green","Track","11.942","30.946","42.507"
"44","GTD","John Potter","3","1:25.638","4:55.645","Green","Track","12.169","30.957","42.512"
"30","GTD","Rob Ferriol","3","1:25.718","4:56.347","Green","Track","12.281","30.969","42.468"
"12","GTD","Frankie Montecalvo","3","1:34.147","4:59.276","Green","Pit","11.982","31.849","50.316"
"24","GTLM","Jesse Krohn","3","1:21.007","5:07.358","Green","Track","11.340","29.570","40.097"
"6","DPi","Dane Cameron","4","1:14.339","5:33.952","Green","Track","9.992","27.393","36.954"
"31","DPi","Pipo Derani","4","1:14.486","5:35.452","Green","Track","9.986","27.383","37.117"
"55","DPi","Jonathan Bomarito","4","1:15.216","5:37.606","Green","Track","10.113","27.670","37.433"
"7","DPi","Helio Castroneves","4","1:15.026","5:39.329","Green","Track","9.975","27.843","37.208"
"10","DPi","Ryan Briscoe","4","1:14.911","5:40.013","Green","Track","10.088","27.579","37.244"
"77","DPi","Oliver Jarvis","4","1:15.011","5:40.840","Green","Track","10.150","27.605","37.256"
"5","DPi","Sebastien Bourdais","4","1:14.944","5:42.062","Green","Track","10.129","27.262","37.553"
"85","DPi","Gabriel Aubry","4","1:15.459","5:42.931","Green","Track","10.341","27.612","37.506"
"4","GTLM","Oliver Gavin","4","1:21.150","6:01.825","Green","Track","11.426","29.478","40.246"
"3","GTLM","Jordan Taylor","4","1:21.196","6:02.295","Green","Track","11.420","29.660","40.116"
"25","GTLM","Bruno Spengler","4","1:21.738","6:03.868","Green","Track","11.406","29.816","40.516"
"14","GTD","Aaron Telitz","4","1:22.872","6:07.061","Green","Track","11.684","30.290","40.898"
"86","GTD","Matt McMurry","4","1:23.014","6:08.662","Green","Track","11.756","30.137","41.121"
"57","GTD","Misha Goikhberg","4","1:23.534","6:09.949","Green","Track","11.844","30.402","41.288"
"96","GTD","Robby Foley","4","1:23.764","6:13.920","Green","Track","11.847","30.404","41.513"
"22","GTD","Till Bechtolsheimer","4","1:23.788","6:16.395","Green","Track","11.866","30.659","41.263"
"23","GTD","Ian James","4","1:24.697","6:17.792","Green","Track","12.102","30.736","41.859"
"16","GTD","Ryan Hardwick","4","1:25.146","6:18.699","Green","Track","12.161","30.911","42.074"
"74","GTD","Gar Robinson","4","1:25.246","6:19.151","Green","Track","12.122","31.009","42.115"
"76","GTD","Corey Fergus","4","1:25.205","6:19.364","Green","Track","12.114","30.979","42.112"
"44","GTD","John Potter","4","1:24.871","6:20.516","Green","Track","12.182","30.649","42.040"
"30","GTD","Rob Ferriol","4","1:24.879","6:21.226","Green","Track","12.214","30.550","42.115"
"24","GTLM","Jesse Krohn","4","1:20.415","6:27.773","Green","Track","11.374","29.313","39.728"
"6","DPi","Dane Cameron","5","1:13.866","6:47.818","Green","Track","10.203","27.234","36.429"
"31","DPi","Pipo Derani","5","1:13.969","6:49.421","Green","Track","9.962","27.363","36.644"
"55","DPi","Jonathan Bomarito","5","1:14.842","6:52.448","Green","Track","10.185","27.717","36.940"
"7","DPi","Helio Castroneves","5","1:14.567","6:53.896","Green","Track","9.860","27.502","37.205"
"10","DPi","Ryan Briscoe","5","1:14.518","6:54.531","Green","Track","10.000","27.502","37.016"
"77","DPi","Oliver Jarvis","5","1:14.467","6:55.307","Green","Track","10.216","27.337","36.914"
"5","DPi","Sebastien Bourdais","5","1:14.621","6:56.683","Green","Track","10.091","27.125","37.405"
"85","DPi","Gabriel Aubry","5","1:14.795","6:57.726","Green","Track","10.133","27.392","37.270"
"4","GTLM","Oliver Gavin","5","1:20.700","7:22.525","Green","Track","11.310","29.344","40.046"
"3","GTLM","Jordan Taylor","5","1:20.658","7:22.953","Green","Track","11.304","29.456","39.898"
"25","GTLM","Bruno Spengler","5","1:21.002","7:24.870","Green","Track","11.391","29.554","40.057"
"14","GTD","Aaron Telitz","5","1:23.055","7:30.116","Green","Track","11.729","30.437","40.889"
"86","GTD","Matt McMurry","5","1:24.060","7:32.722","Green","Track","11.766","30.282","42.012"
"57","GTD","Misha Goikhberg","5","1:23.937","7:33.886","Green","Track","11.875","30.272","41.790"
