Time,Risk Score,Sus Deriv,Flag
60,6.5957597543975925,0.0,0
120,6.574881688019523,0.0,0
180,6.541964683539669,1.6666666666666667,0
240,6.4977602970438575,1.6666666666666667,0
300,6.438533543214116,0.0,0
360,6.3663898392160165,0.0,0
420,6.290902401164033,1.6666666666666667,0
480,6.196568655136884,0.0,0
540,6.0908034961456705,0.0,0
600,5.9742438218031335,0.0,0
660,5.847582511267919,0.0,0
720,5.737359282287955,1.3333333333333333,0
780,5.5964076958671125,0.0,0
840,5.447523185467689,0.0,0
900,5.291532345046392,0.0,0
960,5.129282668979324,0.0,0
1020,4.996509513584553,1.3333333333333333,0
1080,4.8286063433681035,0.0,0
1140,4.6568081570492295,0.0,0
1200,4.481950976956275,0.0,0
1260,4.30485795711757,0.0,0
1320,4.12633322371742,0.0,0
1380,3.947156155655076,0.0,0
1440,3.768076156392431,0.0,0
1500,3.589807959126782,0.0,0
1560,3.413027497896881,0.0,0
1620,3.2383683677092128,0.0,0
1680,3.0664188873338696,0.0,0
1740,2.8977197692335923,0.0,0
1800,2.7327623923090107,0.0,0
1860,2.6597159806061748,0.5,0
1920,2.5081608290496997,0.0,0
1980,2.361053601825394,0.0,0
2040,2.218671177049622,0.0,0
2100,2.0812446554488577,0.0,0
2160,2.0857409309823822,-0.0041666666666666675,0
2220,2.2423150218959162,-0.008333333333333333,0
2280,2.2725962978835423,-0.0041666666666666675,0
2340,2.4591129674790566,-0.008333333333333333,0
2400,2.510298772695831,-0.0041666666666666675,0
2460,2.873269801310608,-0.0125,0
2520,3.252304924310933,-0.0125,0
2580,3.172874840606001,0.0,0
2640,3.0919225621181914,0.0,0
2700,3.1712298961985836,-0.0041666666666666675,0
2760,3.2527515896339767,-0.0041666666666666675,0
2820,3.6669908383567167,-0.0125,0
2880,4.088044310043291,-0.0125,0
2940,4.513722354810098,-0.0125,0
3000,4.4311324686179105,0.0,0
3060,4.691167323471019,1.6583333333333334,0
3120,4.60240127327746,1.6666666666666667,0
3180,4.679998418729836,-0.0041666666666666675,0
3240,4.893898559924491,-0.008333333333333333,0
3300,4.789706470264744,0.0,0
3360,4.855525918044591,-0.0041666666666666675,0
3420,4.7389559256019345,0.0,0
3480,4.616464347546416,0.0,0
3540,4.655312887138406,-0.0041666666666666675,0
3600,4.523806559777297,0.0,0
3660,4.387664174228719,0.0,0
3720,4.427710389637849,-0.0041666666666666675,0
3780,4.284180292904536,0.0,0
3840,4.318367041118528,-0.0041666666666666675,0
3900,4.350171137217337,-0.0041666666666666675,0
3960,4.198282299941234,0.0,0
4020,4.088748943492631,0.5,0
4080,3.9377205197712417,0.0,0
4140,3.7855806097566984,0.0,0
4200,3.6329022398711386,0.0,0
4260,3.4802379708621602,0.0,0
4320,3.328116918328865,0.0,0
4380,3.1770421085115865,0.0,0
4440,3.027488181270121,0.0,0
4500,3.0225565103660643,-0.0041666666666666675,0
4560,2.880269807734841,0.0,0
4620,2.740181704223941,0.0,0
4680,2.6026429560189484,0.0,0
4740,2.7751477400183777,-0.008333333333333333,0
4800,2.8996619460325164,-0.008333333333333333,0
4860,3.084433332182371,-0.008333333333333333,0
4920,2.9719127722825154,0.0,0
4980,3.0166895843668025,-0.0041666666666666675,0
5040,3.2202154950879236,-0.008333333333333333,0
5100,3.1159019296204957,0.0,0
5160,3.174062956174515,-0.0041666666666666675,0
5220,3.0709249304740713,0.0,0
5280,2.9673538018761514,0.0,0
5340,2.8635663454613507,0.0,0
5400,2.759777596954992,0.0,0
5460,2.6562002377586,0.0,0
5520,2.55304392298289,0.0,0
5580,2.4505145594435427,0.0,0
5640,2.5150803070379846,-0.0041666666666666675,0
5700,2.4157766058809584,0.0,0
5760,2.3171725992296714,0.0,0
5820,2.401031697727813,-0.0041666666666666675,0
5880,2.4710192398188937,-0.0041666666666666675,0
5940,2.7277368939624558,-0.008333333333333333,0
6000,2.9498473051577463,-0.008333333333333333,0
6060,3.3726026691454414,0.4875,0
6120,4.153314411986181,-0.02083333333333333,0
6180,4.306137587355167,0.4958333333333334,0
6240,4.385388361752387,-0.0041666666666666675,0
6300,4.4750631126471365,-0.0041666666666666675,0
6360,4.389630697997409,0.0,0
6420,4.478658260060665,-0.0041666666666666675,0
6480,4.5634737729727854,-0.0041666666666666675,0
6540,4.4605436470590165,0.0,0
6600,4.5292878860400325,-0.0041666666666666675,0
6660,4.416233775520488,0.0,0
6720,4.298169350204026,0.0,0
6780,4.357332439757548,-0.0041666666666666675,0
6840,4.230709948619212,0.0,0
6900,4.1002671413212015,0.0,0
6960,3.966562634396473,0.0,0
7020,3.8301587439320532,0.0,0
7080,3.873348301534357,-0.0041666666666666675,0
7140,3.8710628349127583,-0.0041666666666666675,0
7200,3.732377722997068,0.0,0
7260,4.202762629669377,-0.016666666666666666,0
7320,4.272738447996077,0.4958333333333334,0
7380,4.5145386081283565,0.4916666666666666,0
7440,4.394116158944091,0.0,1
7500,4.269711335982528,0.0,1
7500,4.269711335982528,0.0,0
7560,4.230933707372231,0.5,1
7560,4.230933707372231,0.5,0
7620,0.0,0.0,0
7680,0.0,0.0,0
7740,0.0,0.0,0
7800,0.0,0.0,0
7860,0.0,0.0,0
7920,0.0,0.0,0
7980,0.0,0.0,0
8040,0.0,0.0,0
8100,0.0,0.0,0
8160,3.6076014809939343,-0.0041666666666666675,0
8220,3.352437658669209,1.6666666666666667,0
8280,3.370385150100498,1.6666666666666667,0
8340,3.2488837469981555,0.0,0
8400,3.1270627786448837,0.0,0
8460,3.0052682985794177,0.0,0
8520,2.8838353299158155,0.0,0
8580,2.7630864717125347,0.0,0
8640,2.6433306086813766,0.0,0
8700,2.5248617322940925,0.0,0
8760,2.4079578805409203,0.0,0
8820,2.4540897562414714,-0.0041666666666666675,0
8880,2.3426388129078126,0.0,0
8940,2.2329533006556415,0.0,0
9000,2.1252507353155856,0.0,0
9060,2.0197319783142227,0.0,0
9120,1.916580824904386,0.0,0
9180,1.8159637128289072,0.0,0
9240,1.7180295509340218,0.0,0
9300,1.6229096661222204,0.0,0
9360,1.5307178659277252,0.0,0
9420,1.4415506129292242,0.0,0
9480,1.3554873062010848,0.0,0
9540,1.2725906640618352,0.0,0
9600,1.3398144367832898,-0.0041666666666666675,0
9660,1.2657303400608009,0.0,0
9720,1.1943536265533423,0.0,0
