Driver,Yellow
Moritz Kranz,0
Keith Grant,0
Josh Sarchet,0
Dan Goldburg,0
Antoine Comeau,0
Alan Brynjolfsson,0
Terry Olson,0
Jason Rabe,0
Joe Robillard,0
Lance Willsey,0
Jon Brownson,0
Bruce Hamilton,0
Steve Scullen,0
George Staikos,0
Stevan McAleer,0
Tonis Kasemets,0
Mike Skeen,0
Scott Huffaker,0
Dario Cangialosi,0
Dakota Dickerson,0
Rasmus Lindh,0
Courtney Crone,0
David Grant,0
Trent Hindman,0
Colin Mullan,0
Francesco Melandri,0
Danny Kok,0
