Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
21,P3-1,Moritz Kranz,1,1:59.767,1900-01-01 00:01:59.767000,Green,Track,26.285,51.49,41.99
40,P3-1,Keith Grant,1,2:00.538,1900-01-01 00:02:00.538000,Green,Track,25.815,51.748000000000005,42.466
54,P3-1,Josh Sarchet,1,2:00.906,1900-01-01 00:02:00.906000,Green,Track,25.445,51.718999999999994,42.472
6,P3-1,Dan Goldburg,1,2:02.445,1900-01-01 00:02:02.445000,Green,Track,23.708000000000002,51.773,43.521
34,P3-1,Antoine Comeau,1,2:02.923,1900-01-01 00:02:02.923000,Green,Track,22.801,51.755,43.82
7,P3-1,Alan Brynjolfsson,1,2:03.673,1900-01-01 00:02:03.673000,Green,Track,24.798000000000002,52.592,44.426
3,P3-1,Terry Olson,1,2:04.387,1900-01-01 00:02:04.387000,Green,Track,22.191999999999997,51.638999999999996,44.765
74,P3-1,Jason Rabe,1,2:04.701,1900-01-01 00:02:04.701000,Green,Track,21.436999999999998,51.736000000000004,44.956
43,P3-1,Joe Robillard,1,2:05.184,1900-01-01 00:02:05.184000,Green,Track,19.84,50.538000000000004,45.318999999999996
24,P3-2,Lance Willsey,1,2:06.099,1900-01-01 00:02:06.099000,Green,Track,20.108,48.042,45.678999999999995
47,P3-1,Jon Brownson,1,2:06.669,1900-01-01 00:02:06.669000,Green,Track,20.111,47.486000000000004,45.8
60,P3-1,Bruce Hamilton,1,2:07.227,1900-01-01 00:02:07.227000,Green,Track,19.939,49.988,46.136
46,P3-1,Steve Scullen,1,2:08.692,1900-01-01 00:02:08.692000,Green,Track,20.557,46.996,46.995
61,P3-2,George Staikos,1,2:09.700,1900-01-01 00:02:09.700000,Green,Track,20.753,45.928999999999995,47.723
21,P3-1,Moritz Kranz,2,1:21.989,1900-01-01 00:03:21.756000,Green,Track,11.447000000000001,30.153000000000002,40.389
40,P3-1,Keith Grant,2,1:21.969,1900-01-01 00:03:22.507000,Green,Track,11.668,29.954,40.347
54,P3-1,Josh Sarchet,2,1:22.787,1900-01-01 00:03:23.693000,Green,Track,11.644,30.647,40.496
6,P3-1,Dan Goldburg,2,1:22.935,1900-01-01 00:03:25.380000,Green,Track,11.789000000000001,30.521,40.625
34,P3-1,Antoine Comeau,2,1:23.124,1900-01-01 00:03:26.047000,Green,Track,11.727,30.568,40.829
7,P3-1,Alan Brynjolfsson,2,1:24.242,1900-01-01 00:03:27.915000,Green,Track,11.807,30.66,41.775
3,P3-1,Terry Olson,2,1:24.016,1900-01-01 00:03:28.403000,Green,Track,11.648,30.855,41.513000000000005
74,P3-1,Jason Rabe,2,1:24.110,1900-01-01 00:03:28.811000,Green,Track,11.866,30.935,41.309
43,P3-1,Joe Robillard,2,1:24.854,1900-01-01 00:03:30.038000,Green,Track,11.722999999999999,31.428,41.703
24,P3-2,Lance Willsey,2,1:26.767,1900-01-01 00:03:32.866000,Green,Track,12.002,32.039,42.726000000000006
47,P3-1,Jon Brownson,2,1:26.741,1900-01-01 00:03:33.410000,Green,Track,11.972000000000001,32.105,42.663999999999994
60,P3-1,Bruce Hamilton,2,1:27.152,1900-01-01 00:03:34.379000,Green,Track,12.015999999999998,32.038000000000004,43.098
46,P3-1,Steve Scullen,2,1:29.465,1900-01-01 00:03:38.157000,Green,Track,12.725,32.098,44.641999999999996
61,P3-2,George Staikos,2,1:31.544,1900-01-01 00:03:41.244000,Green,Track,12.968,33.204,45.372
21,P3-1,Moritz Kranz,3,1:21.319,1900-01-01 00:04:43.075000,Green,Track,11.231,29.984,40.104
40,P3-1,Keith Grant,3,1:21.167,1900-01-01 00:04:43.674000,Green,Track,11.255,29.639,40.273
54,P3-1,Josh Sarchet,3,1:21.187,1900-01-01 00:04:44.880000,Green,Track,11.083,30.246,39.858000000000004
6,P3-1,Dan Goldburg,3,1:21.341,1900-01-01 00:04:46.721000,Green,Track,11.367,29.891,40.083
34,P3-1,Antoine Comeau,3,1:21.434,1900-01-01 00:04:47.481000,Green,Track,11.394,29.854,40.186
7,P3-1,Alan Brynjolfsson,3,1:22.441,1900-01-01 00:04:50.356000,Green,Track,11.569,30.211,40.661
3,P3-1,Terry Olson,3,1:22.688,1900-01-01 00:04:51.091000,Green,Track,11.356,30.46,40.872
74,P3-1,Jason Rabe,3,1:22.994,1900-01-01 00:04:51.805000,Green,Track,11.440999999999999,30.331,41.222
43,P3-1,Joe Robillard,3,1:22.612,1900-01-01 00:04:52.650000,Green,Track,11.302,30.421999999999997,40.888000000000005
24,P3-2,Lance Willsey,3,1:25.169,1900-01-01 00:04:58.035000,Green,Track,11.718,31.366999999999997,42.083999999999996
47,P3-1,Jon Brownson,3,1:25.390,1900-01-01 00:04:58.800000,Green,Track,11.538,31.717,42.135
60,P3-1,Bruce Hamilton,3,1:25.352,1900-01-01 00:04:59.731000,Green,Track,11.714,31.473000000000003,42.165
46,P3-1,Steve Scullen,3,1:27.579,1900-01-01 00:05:05.736000,Green,Track,12.11,32.071,43.398
61,P3-2,George Staikos,3,1:30.260,1900-01-01 00:05:11.504000,Green,Track,12.918,32.328,45.013999999999996
21,P3-1,Moritz Kranz,4,1:21.028,1900-01-01 00:06:04.103000,Green,Track,11.161,29.899,39.968
40,P3-1,Keith Grant,4,1:20.874,1900-01-01 00:06:04.548000,Green,Track,11.068,29.935,39.871
54,P3-1,Josh Sarchet,4,1:20.566,1900-01-01 00:06:05.446000,Green,Track,11.059000000000001,30.009,39.498000000000005
6,P3-1,Dan Goldburg,4,1:20.474,1900-01-01 00:06:07.195000,Green,Track,11.322000000000001,29.581999999999997,39.57
34,P3-1,Antoine Comeau,4,1:20.702,1900-01-01 00:06:08.183000,Green,Track,11.286,29.684,39.732
7,P3-1,Alan Brynjolfsson,4,1:21.796,1900-01-01 00:06:12.152000,Green,Track,11.331,30.206,40.259
3,P3-1,Terry Olson,4,1:21.745,1900-01-01 00:06:12.836000,Green,Track,11.155,30.373,40.217
74,P3-1,Jason Rabe,4,1:21.851,1900-01-01 00:06:13.656000,Green,Track,11.305,30.009,40.537
43,P3-1,Joe Robillard,4,1:22.471,1900-01-01 00:06:15.121000,Green,Track,11.402000000000001,30.269000000000002,40.8
24,P3-2,Lance Willsey,4,1:23.889,1900-01-01 00:06:21.924000,Green,Track,11.600999999999999,30.857,41.431000000000004
47,P3-1,Jon Brownson,4,1:24.165,1900-01-01 00:06:22.965000,Green,Track,11.482000000000001,31.261,41.422
60,P3-1,Bruce Hamilton,4,1:24.282,1900-01-01 00:06:24.013000,Green,Track,11.329,31.311999999999998,41.641000000000005
46,P3-1,Steve Scullen,4,1:26.097,1900-01-01 00:06:31.833000,Green,Track,12.042,31.418000000000003,42.637
61,P3-2,George Staikos,4,1:27.121,1900-01-01 00:06:38.625000,Green,Track,12.388,31.564,43.169
21,P3-1,Moritz Kranz,5,1:20.422,1900-01-01 00:07:24.525000,Green,Track,11.07,29.656999999999996,39.695
40,P3-1,Keith Grant,5,1:20.701,1900-01-01 00:07:25.249000,Green,Track,11.173,29.543000000000003,39.985
54,P3-1,Josh Sarchet,5,1:20.283,1900-01-01 00:07:25.729000,Green,Track,11.007,29.804000000000002,39.472
6,P3-1,Dan Goldburg,5,1:20.355,1900-01-01 00:07:27.550000,Green,Track,11.218,29.628,39.509
34,P3-1,Antoine Comeau,5,1:20.251,1900-01-01 00:07:28.434000,Green,Track,11.08,29.482,39.689
7,P3-1,Alan Brynjolfsson,5,1:21.446,1900-01-01 00:07:33.598000,Green,Track,11.305,29.771,40.37
3,P3-1,Terry Olson,5,1:21.382,1900-01-01 00:07:34.218000,Green,Track,11.081,29.868000000000002,40.433
74,P3-1,Jason Rabe,5,1:21.310,1900-01-01 00:07:34.966000,Green,Track,11.196,29.781999999999996,40.332
43,P3-1,Joe Robillard,5,1:21.683,1900-01-01 00:07:36.804000,Green,Track,11.224,30.254,40.205
24,P3-2,Lance Willsey,5,1:23.393,1900-01-01 00:07:45.317000,Green,Track,11.452,30.892,41.049
47,P3-1,Jon Brownson,5,1:23.949,1900-01-01 00:07:46.914000,Green,Track,11.415999999999999,30.994,41.538999999999994
60,P3-1,Bruce Hamilton,5,1:24.393,1900-01-01 00:07:48.406000,Green,Track,11.495,31.165,41.733000000000004
46,P3-1,Steve Scullen,5,1:26.748,1900-01-01 00:07:58.581000,Green,Track,11.864,32.327,42.556999999999995
61,P3-2,George Staikos,5,1:25.395,1900-01-01 00:08:04.020000,Green,Track,11.814,31.081,42.5
21,P3-1,Moritz Kranz,6,1:20.195,1900-01-01 00:08:44.720000,Green,Track,11.084000000000001,29.495,39.616
40,P3-1,Keith Grant,6,1:20.049,1900-01-01 00:08:45.298000,Green,Track,11.085,29.314,39.65
54,P3-1,Josh Sarchet,6,1:20.116,1900-01-01 00:08:45.845000,Green,Track,11.030999999999999,29.534000000000002,39.551
6,P3-1,Dan Goldburg,6,1:19.767,1900-01-01 00:08:47.317000,Green,Track,10.998,29.304000000000002,39.465
34,P3-1,Antoine Comeau,6,1:20.148,1900-01-01 00:08:48.582000,Green,Track,11.123,29.384,39.641
7,P3-1,Alan Brynjolfsson,6,1:20.969,1900-01-01 00:08:54.567000,Green,Track,11.293,29.785999999999998,39.89
3,P3-1,Terry Olson,6,1:21.036,1900-01-01 00:08:55.254000,Green,Track,11.074000000000002,29.94,40.022
74,P3-1,Jason Rabe,6,1:20.944,1900-01-01 00:08:55.910000,Green,Track,11.09,29.756999999999998,40.097
43,P3-1,Joe Robillard,6,1:21.691,1900-01-01 00:08:58.495000,Green,Track,11.369000000000002,30.035,40.287
24,P3-2,Lance Willsey,6,1:23.022,1900-01-01 00:09:08.339000,Green,Track,11.307,30.951999999999998,40.763000000000005
47,P3-1,Jon Brownson,6,1:24.722,1900-01-01 00:09:11.636000,Green,Track,11.492,31.345,41.885
60,P3-1,Bruce Hamilton,6,1:24.627,1900-01-01 00:09:13.033000,Green,Track,11.59,31.259,41.778
46,P3-1,Steve Scullen,6,1:27.020,1900-01-01 00:09:25.601000,Green,Track,12.05,31.783,43.187
61,P3-2,George Staikos,6,1:24.929,1900-01-01 00:09:28.949000,Green,Track,11.960999999999999,31.238000000000003,41.73
21,P3-1,Moritz Kranz,7,1:19.330,1900-01-01 00:10:04.050000,Green,Track,10.972000000000001,29.233,39.125
40,P3-1,Keith Grant,7,1:19.861,1900-01-01 00:10:05.159000,Green,Track,11.0,29.283,39.578
54,P3-1,Josh Sarchet,7,1:19.888,1900-01-01 00:10:05.733000,Green,Track,11.014000000000001,29.588,39.286
6,P3-1,Dan Goldburg,7,1:19.537,1900-01-01 00:10:06.854000,Green,Track,11.054,29.362,39.121
34,P3-1,Antoine Comeau,7,1:19.729,1900-01-01 00:10:08.311000,Green,Track,11.075999999999999,29.27,39.383
