Driver,Var
Dane Cameron,1.4622802085047988
Pipo Derani,1.8115315834816659
Jonathan Bomarito,49.63013336702807
Helio Castroneves,2.125695207933883
Ryan Briscoe,1.9466343902739298
Oliver Jarvis,32.873675379310356
Sebastien Bourdais,52.18154333753412
Gabriel Aubry,42.90607388958678
Oliver Gavin,0.5574942065972216
Jordan Taylor,0.4154228007015295
Bruno Spengler,0.5314080260416656
Aaron Telitz,1.5636684714049602
Matt McMurry,0.30942138049586826
Misha Goikhberg,1.810020257851239
Frankie Montecalvo,398.0327651108032
Robby Foley,259202.82050038717
Till Bechtolsheimer,0.49478182887517164
Ian James,0.49265694135802424
Ryan Hardwick,1.0553361928166347
Gar Robinson,0.7459766880907374
John Potter,0.7403395160680541
Corey Fergus,41.95271730624143
Rob Ferriol,4.013321610576924
Jesse Krohn,0.25822640104166567
Juan Pablo Montoya,165.50998149999995
Tommy Milner,0.23282221768707456
John Edwards,0.1794196150163768
Connor De Phillippi,0.10590526429831143
Lawson Aschenbach,0.35733296586938856
Andy Lally,3.8008252362268182
Patrick Long,0.3646059290513304
Townsend Bell,89925.8052288616
Felipe Nasr,29.903232686390513
Ricky Taylor,26.59701708102494
Tristan Vautier,149.33794424489798
Harry Tincknell,25.929488472222218
Renger van der Zande,29.011964370612244
Tristan Nunez,1.0685933252595134
Jack Hawksworth,0.07967664447086757
Paul Holton,64.89967312722949
Alvaro Parente,0.2072443115338886
Antonio Garcia,0.09811101560874093
Mario Farnbacher,28.94591516836734
Roman De Angelis,0.18839061355529207
Marc Miller,70.6330074630102
Bill Auberlen,0.15917646373365044
Joao Barbosa,1.3032064612476406
