Driver,Yellow
Dane Cameron,0
Pipo Derani,0
Jonathan Bomarito,0
Helio Castroneves,0
Ryan Briscoe,0
Oliver Jarvis,0
Sebastien Bourdais,0
Gabriel Aubry,0
Oliver Gavin,0
Jordan Taylor,0
Bruno Spengler,0
Aaron Telitz,0
Matt McMurry,0
Misha Goikhberg,0
Frankie Montecalvo,0
Robby Foley,0
Till Bechtolsheimer,0
Ian James,0
Ryan Hardwick,0
Gar Robinson,0
John Potter,0
Corey Fergus,0
Rob Ferriol,0
Jesse Krohn,0
Juan Pablo Montoya,0
Tommy Milner,0
John Edwards,0
Connor De Phillippi,0
Lawson Aschenbach,0
Andy Lally,0
Patrick Long,0
Townsend Bell,0
Felipe Nasr,0
Ricky Taylor,0
Tristan Vautier,1
Harry Tincknell,0
Renger van der Zande,0
Tristan Nunez,0
Jack Hawksworth,0
Paul Holton,0
Alvaro Parente,0
Antonio Garcia,0
Mario Farnbacher,0
Roman De Angelis,0
Marc Miller,0
Bill Auberlen,0
Joao Barbosa,0
