Driver,Yellow
Dane Cameron,False
Pipo Derani,False
Jonathan Bomarito,False
Helio Castroneves,False
Ryan Briscoe,False
Oliver Jarvis,False
Sebastien Bourdais,False
Gabriel Aubry,False
Oliver Gavin,False
Jordan Taylor,False
Bruno Spengler,False
Aaron Telitz,False
Matt McMurry,False
Misha Goikhberg,False
Frankie Montecalvo,False
Robby Foley,False
Till Bechtolsheimer,False
Ian James,False
Ryan Hardwick,False
Gar Robinson,False
John Potter,False
Corey Fergus,False
Rob Ferriol,False
Jesse Krohn,False
Juan Pablo Montoya,False
Tommy Milner,False
John Edwards,False
Connor De Phillippi,False
Lawson Aschenbach,False
Andy Lally,False
Patrick Long,False
Townsend Bell,False
Felipe Nasr,False
Ricky Taylor,False
Tristan Vautier,True
Harry Tincknell,False
Renger van der Zande,False
Tristan Nunez,False
Jack Hawksworth,False
Paul Holton,False
Alvaro Parente,False
Antonio Garcia,False
Mario Farnbacher,False
Roman De Angelis,False
Marc Miller,False
Bill Auberlen,False
Joao Barbosa,False
