Time,Risk Score
0,4.401822554732097
60,4.397173169598395
120,4.383254458679683
180,4.360154444856117
240,4.328018802287253
300,4.29183151602885
360,4.244150095368934
420,4.188156232301174
480,4.124194155304388
540,4.0526531826407535
600,3.978644209075507
660,3.8948387474423076
720,3.80481265576628
780,3.7090835925235055
840,3.608192051587588
900,3.5026963089308714
960,3.3931673193403613
1020,3.28018362778239
1080,3.1643263579873784
1140,3.046174337792253
1200,2.9262994168588032
1260,2.8052620276841944
1320,2.6836070354479977
1380,2.5618599163238103
1440,2.440523297552072
1500,2.3200738859587937
1560,2.2009598048457084
1620,2.083598352402403
1680,2.071543519343399
1740,1.962959328801781
1800,1.8566717401732349
1860,1.7529554384856239
1920,1.6520532709059288
1980,1.5541763582777453
2040,1.4595045156008781
2100,1.3681869555150865
2160,0
2220,0
2280,0
2340,0
2400,0
2460,0
2520,0
2580,0
2640,0
2700,0
2760,3.8212441708625753
2820,3.7741811965159897
2880,4.066091216164995
2940,4.0117436763454855
3000,3.98663480731664
3060,3.925323450404948
3120,3.8570773746872415
3180,3.792222834914069
3240,3.713733531857011
3300,3.630725624350647
3360,3.542056399286553
3420,3.4485754101753177
3480,3.3507796853729426
3540,3.249179036406764
3600,3.1442915728008614
3660,3.036639266514247
3720,2.9267436182032793
3780,2.815121474374758
3840,2.702281040669421
3900,2.58871813210021
3960,2.5707701692873255
4020,2.4615231037076235
4080,2.3524461020264837
4140,2.2439459303821354
4200,2.1364066985214594
4260,2.0301880192617805
4320,1.9256235006503912
4380,2.0056780786296198
4440,1.9049451185088058
4500,1.8710817758298077
4560,1.7794528245561518
4620,1.6899706346803798
4680,1.602793864930876
4740,1.5180588600210358
4800,1.4358803887201455
4860,1.3563525208037475
4920,1.4355627113331473
4980,1.8089390710697932
5040,1.9070308535077762
5100,1.8672545423271916
5160,1.8106395901336336
5220,1.9235026309638155
5280,1.8696177541246848
5340,1.8153600080375658
5400,1.9126736456447944
5460,2.0289276212707317
5520,0
5580,0
5640,0
5700,0
5760,0
5820,0
5880,0
5940,0
6000,0
6060,0
6120,0
6180,0
6240,0
6300,3.428862856141904
6360,3.316198686252668
6420,3.262405698671417
6480,3.1732118210983673
6540,3.1182897170550117
6600,3.029379213163425
6660,2.937650357284525
6720,2.8435064636460403
6780,2.7473526809127113
6840,2.6495930009658033
6900,2.550627365135763
6960,2.790046196031729
7020,2.9473768425118885
7080,3.0382855751482625
7140,3.1677831812947073
7200,3.0882966241023717
7260,3.005701150186907
7320,0
7380,0
7440,0
7500,0
7560,0
7620,0
7680,0
7740,0
7800,0
7860,2.3971731331563317
7920,2.1569915219445708
7980,2.213949070384082
8040,2.1224078619392945
8100,2.0312945778225755
8160,1.9408784030059654
8220,1.8514140706152364
8280,1.7631408944534737
8340,1.6762819572924248
8400,1.5910434559670803
8460,1.5076142026934023
8520,1.4261652804731912
8580,1.346849848971402
8640,1.269803095865918
8700,1.1951423273925592
8760,1.1229671906517176
8820,1.0533600192183443
8880,0.9863862927128071
8940,0.9220952002527718
9000,0.8605202971200229
9060,0.8016802435427256
9120,0.7455796142126183
9180,0.6922097670252467
9240,0.6415497595446922
9300,0.593567301845436
9360,0.6920811346049548
9420,0.6521957800895746
9480,0.6142749702145024
9540,0.5800366426673481
9600,0.5468666526638131
9660,0.5154489107486213
