Driver,Var
Helio Castroneves,1.5051628044077114
Dane Cameron,29.588484701340832
Oliver Jarvis,27.447206426254326
Jonathan Bomarito,31.73931099479709
Renger Van Der Zande,37.14663861633136
Joao Barbosa,0.9081531199999986
Gustavo Yacaman,37.01952976331361
Misha Goikhberg,43.39943684339499
James French,35.02418860523186
Eric Curran,2.5201878740234385
Johannes van Overbeek,6.583397827148437
Scott Sharp,72.30825218145955
Nick Tandy,0.49098517291255706
Earl Bamber,0.5494172743749998
Jonathan Bennett,1.224115390218521
Alexander Sims,0.6498218939967563
Antonio Garcia,0.743692839335179
John Edwards,0.8488321461937712
Dirk Mueller,0.9793928792385482
Ryan Briscoe,0.6151422741020796
Tommy Milner,0.8809282653061216
Jack Hawksworth,31.03121258192347
Kyle Marcelli,0.7160352169466752
Katherine Legge,2.188489458655564
Madison Snow,0.5934011855955658
Dillon Machavern,0.6675712382934453
Justin Marks,73.58220737775137
Christina Nielsen,0.7012567788888903
Cooper MacNeil,0.3258799751643542
Michael Schein,0.8757049960937489
Robert Alon,59.92049155834964
Ben Keating,0.6749212322222214
John Potter,0.657821115555554
Kenny Habul,35.51343497888888
Filipe Albuquerque,41.38654290093316
Pipo Derani,46.73793956353306
Felipe Nasr,39.37490744201963
Colin Braun,53.27792082321798
Ricky Taylor,34.789069380165294
Patrick Long,33.448435671086735
Jeroen Bleekemolen,42.30958717451609
Andy Lally,32.525332045115086
Bill Auberlen,30.246352834375006
Wolf Henzler,96.52758672457416
Jesse Krohn,24.694690833593757
Dominik Baumann,37.51171477333333
Jan Magnussen,19.897160286011076
Ryan Dalziel,45.41687843437499
Alessandro Balzan,30.83129938056975
Patrick Pilet,18.466891245155555
Bryan Sellers,28.09106926150475
Laurens Vanthoor,20.216803417092763
Joey Hand,19.41702632426346
David Heinemeier Hansson,1.2998209094693052
Oliver Gavin,25.179988545524694
Alvaro Parente,28.545133232295175
Lawson Aschenbach,40.102252074588385
Connor De Phillippi,19.43449568537989
Richard Westbrook,29.872143521626292
Maro Engel,56.65777795171599
Kyle Masson,31.32892008223595
Spencer Pigot,397.8092448571429
Jordan Taylor,30.00707749968112
Sebastian Saavedra,19.711478702806122
Simon Trummer,46.83183171702479
Stephen Simpson,35.85864882887516
Juan Pablo Montoya,25.862442741189028
Tristan Nunez,23.516247013171945
