Time,Risk Score
0,6.526794797756397
60,6.519243170418987
120,6.496640672251137
180,6.459143849629154
240,6.407011605769969
300,6.3406022236423665
360,6.260369265369528
420,6.1668564137752115
480,6.087790533447194
540,5.975434930807485
600,5.851684892828644
660,5.717340209571278
720,5.57325530712382
780,5.420330226219499
840,5.259501302901248
900,5.091731685505592
960,4.918001821255054
1020,4.739300042382363
1080,4.5566133760968475
1140,4.37091869502812
1200,4.183174315268549
1260,3.9943121380424795
1320,3.8052304186414903
1380,3.6167872328825013
1440,3.4297946972824485
1500,3.245013984712439
1560,3.063151162804502
1620,2.88485386812877
1680,2.7107088154133603
1740,2.5412401280918004
1800,2.3769084644518435
1860,2.2181109028097517
1920,2.0651815395927478
1980,1.9183927460894294
2040,1.9194303455297417
2100,1.9342732811102927
2160,1.813041710902815
2220,1.7003393617197484
2280,1.591381610374214
2340,1.4877767460072904
2400,1.389464277027073
2460,1.4608367662362907
2520,1.5417654070737061
2580,1.6312282893197265
2640,1.7281632979205916
2700,2.6809482626666403
2760,3.3238411034100346
2820,3.645506698980479
2880,3.59297075717085
2940,3.5352381488554196
3000,3.8349274164761575
3060,3.7685964197397612
3120,3.6964069039293843
3180,3.618619220471589
3240,3.5355378000621744
3300,3.9979692707858567
3360,4.2806335329632175
3420,4.371782261337134
3480,4.645332987475451
3540,4.913829357280167
3600,5.022324099444512
3660,5.094002950708525
3720,5.158805118465039
3780,5.027022241320827
3840,4.888545265527711
3900,4.744113500734308
3960,4.785158070455437
4020,4.630836418186854
4080,4.536876577585553
4140,4.380007671761565
4200,4.220127215683847
4260,4.057967721955333
4320,3.8942476859054285
4380,3.7296665842446033
4440,3.564900249748305
4500,3.4005966598067987
4560,3.2373721696998907
4620,3.0758082143011345
4680,2.916448494711606
4740,2.7597966591904517
4800,2.911771268640909
4860,2.9147322910638085
4920,2.9536466521083593
4980,2.819021564926408
5040,2.856958120926676
5100,2.7283947621810127
5160,2.76781901474868
5220,2.988956905161031
5280,3.042540140861043
5340,2.9286138066280714
5400,2.990387307971823
5460,3.547803042870073
5520,3.448154548215694
5580,3.3467111645805607
5640,3.2437032476006586
5700,3.1393688914620577
5760,3.0339531488641933
5820,3.0844437952220334
5880,3.1459655456399664
5940,3.586291444749083
6000,4.175924744708769
6060,4.425815383589075
6120,4.480167319406119
6180,4.380978782717091
6240,4.463733678048815
6300,4.353367759842818
6360,4.41298951743117
6420,4.471377123206954
6480,4.53338398875387
6540,4.405649986457172
6600,4.273067048712395
6660,4.136266908719177
6720,3.995890195136475
6780,4.043517473148218
6840,3.8978330674128565
6900,3.8960869395994626
6960,3.7500971048360197
7020,3.8749105344048727
7080,4.001768335058303
7140,4.113225867110718
7200,4.110129212474782
7260,4.299834750088628
7320,4.173073652535401
7380,4.515369844043022
7440,4.3896791921113945
7500,4.259685541010276
7560,4.125960603058427
7620,4.1794280741932575
7680,4.039547348930822
7740,3.897196046840316
7800,3.942947111805992
7860,3.7973783902610543
7920,3.650560915121426
7980,3.503042613025833
8040,3.3553555097251295
8100,3.208012775395086
8160,3.061506012782787
8220,2.916302807018417
8280,2.7728445527637953
8340,2.6315445710512178
8400,2.4927865247354206
8460,2.3569231379859996
8520,2.224275221737406
8580,2.2668787422768593
8640,2.143221831551513
8700,2.0229471775170538
8760,1.906256670738935
8820,1.7933230455712599
8880,1.6842904160603147
8940,1.579275017308253
9000,1.478366133669545
9060,1.3816271939105642
9120,1.2890970125548336
9180,1.200791156063455
9240,1.1167034122559816
9300,1.0368073414495222
9360,0.9610578881655637
9420,1.080070029963622
9480,1.01209891179059
9540,0.9475811864048693
9600,0.8864230174232838
9660,0.8285229431695531
9720,0.7737733696200708
