Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,SP5
7,P,Helio Castroneves,1,1:44.275,1900-01-01 00:01:44.275000,Green,Track,6.682,14.269,12.235,13.302,9.64,1.944,0.515,7.242999999999999,14.819,14.01,5.348,4.266,158.87
6,P,Dane Cameron,1,1:44.632,1900-01-01 00:01:44.632000,Green,Track,6.84,13.257,12.202,13.286,9.79,1.9380000000000002,0.514,7.475,14.74,14.052,5.455,4.2219999999999995,159.179
77,P,Oliver Jarvis,1,1:45.428,1900-01-01 00:01:45.428000,Green,Track,6.622000000000001,13.375,12.237,12.948,9.55,1.92,0.512,7.638,14.99,14.245,5.39,4.312,159.80100000000002
55,P,Jonathan Bomarito,1,1:45.868,1900-01-01 00:01:45.868000,Green,Track,6.933,11.901,12.234000000000002,13.075,9.652999999999999,1.9180000000000001,0.511,7.486000000000001,15.399000000000001,14.259,5.46,4.296,160.114
10,P,Renger Van Der Zande,1,1:46.384,1900-01-01 00:01:46.384000,Green,Track,6.735,11.901,12.147,12.575999999999999,9.597999999999999,1.9880000000000002,0.527,7.454,15.27,14.619000000000002,5.336,4.362,155.253
5,P,Joao Barbosa,1,1:47.104,1900-01-01 00:01:47.104000,Green,Track,6.4510000000000005,10.812000000000001,11.755999999999998,12.515,9.698,2.032,0.531,7.627999999999999,15.415999999999999,14.773,5.417000000000001,4.406000000000001,154.083
52,P,Gustavo Yacaman,1,1:47.595,1900-01-01 00:01:47.595000,Green,Track,6.252999999999999,10.784,11.020999999999999,12.459000000000001,9.359,1.929,0.514,7.6,15.987,14.630999999999998,5.465,4.369,159.179
99,P,Misha Goikhberg,1,1:48.310,1900-01-01 00:01:48.310000,Green,Track,6.287000000000001,10.300999999999998,11.154000000000002,12.252,9.471,1.969,0.546,8.092,15.857999999999999,14.898,5.547000000000001,4.343999999999999,149.85
38,P,James French,1,1:48.825,1900-01-01 00:01:48.825000,Green,Track,5.67,10.075,10.777999999999999,12.072000000000001,9.293,1.926,0.519,8.238999999999999,15.873,14.914000000000001,5.656000000000001,4.368,157.64600000000002
31,P,Eric Curran,1,1:49.182,1900-01-01 00:01:49.182000,Green,Track,4.523,8.935,10.475999999999999,11.657,9.341000000000001,1.954,0.519,7.976,15.883,15.003,5.643,4.402,157.64600000000002
22,P,Johannes van Overbeek,1,1:50.643,1900-01-01 00:01:50.643000,Green,Track,5.417000000000001,9.718,11.218,11.878,9.15,1.8840000000000001,0.503,7.995,17.857,14.751,5.706,4.343999999999999,162.66
2,P,Scott Sharp,1,1:51.903,1900-01-01 00:01:51.903000,Green,Track,4.748,8.213,10.699000000000002,11.725,9.004,1.8840000000000001,0.501,8.003,18.277,15.217,5.705,4.463,163.31
911,GTLM,Nick Tandy,1,1:52.881,1900-01-01 00:01:52.881000,Green,Track,4.891,7.64,9.222999999999999,11.062000000000001,9.363999999999999,2.0669999999999997,0.5429999999999999,7.529,17.921,15.657,5.62,4.474,150.678
912,GTLM,Earl Bamber,1,1:53.979,1900-01-01 00:01:53.979000,Green,Track,5.56,7.871,8.164,10.469000000000001,9.152999999999999,2.044,0.539,7.462999999999999,17.887,16.244,5.733,4.663,151.796
54,P,Jonathan Bennett,1,1:54.505,1900-01-01 00:01:54.505000,Green,Track,4.657,8.546,10.228,11.606,9.25,1.919,0.508,7.807,18.23,16.916,5.847,4.709,161.059
25,GTLM,Alexander Sims,1,1:54.669,1900-01-01 00:01:54.669000,Green,Track,5.655,7.471,8.852,10.799000000000001,9.18,2.006,0.5539999999999999,7.654,18.067,16.570999999999998,5.917000000000001,4.63,147.686
3,GTLM,Antonio Garcia,1,1:55.054,1900-01-01 00:01:55.054000,Green,Track,5.546,7.694,8.086,10.318,9.061,2.0069999999999997,0.534,7.7620000000000005,17.887,16.707,5.942,4.619,153.218
24,GTLM,John Edwards,1,1:55.192,1900-01-01 00:01:55.192000,Green,Track,4.513999999999999,8.248,9.693,11.588,9.459,2.033,0.542,7.374,19.545,16.328,5.729,4.605,150.95600000000002
66,GTLM,Dirk Mueller,1,1:55.563,1900-01-01 00:01:55.563000,Green,Track,5.3629999999999995,7.955,7.336,10.387,8.911,1.9969999999999999,0.547,8.054,17.985,16.439,6.0729999999999995,4.736000000000001,149.576
67,GTLM,Ryan Briscoe,1,1:55.833,1900-01-01 00:01:55.833000,Green,Track,5.822,8.134,6.5,10.082,8.884,2.032,0.584,8.154,17.498,16.849,6.183,4.6930000000000005,140.1
4,GTLM,Tommy Milner,1,1:56.118,1900-01-01 00:01:56.118000,Green,Track,5.468999999999999,8.423,6.011,10.035,8.847999999999999,2.051,0.545,8.017999999999999,18.093,16.491,6.068,4.718,150.125
15,GTD,Jack Hawksworth,1,1:56.441,1900-01-01 00:01:56.441000,Green,Track,5.15,8.113999999999999,6.0,9.519,8.674,2.037,0.5429999999999999,8.235,17.586,17.082,6.0329999999999995,4.754,150.678
14,GTD,Kyle Marcelli,1,1:56.697,1900-01-01 00:01:56.697000,Green,Track,4.584,8.193,5.749,9.693,8.606,2.062,0.55,7.9479999999999995,17.811,16.936,6.004,4.739,148.76
86,GTD,Katherine Legge,1,1:57.165,1900-01-01 00:01:57.165000,Green,Track,4.878,8.084,4.753,8.835,8.207,2.016,0.5429999999999999,8.103,17.88,16.942,6.095,4.763999999999999,150.678
48,GTD,Madison Snow,1,1:57.442,1900-01-01 00:01:57.442000,Green,Track,5.43,7.814,5.099,9.264,8.745,2.044,0.5489999999999999,8.179,17.863,17.264,6.122000000000001,4.715,149.031
96,GTD,Dillon Machavern,1,1:57.711,1900-01-01 00:01:57.711000,Green,Track,4.725,7.749,4.563,8.783,7.797999999999999,1.9780000000000002,0.534,8.163,17.912,17.202,6.151,4.7010000000000005,153.218
93,GTD,Justin Marks,1,1:58.018,1900-01-01 00:01:58.018000,Green,Track,4.713,7.773,4.5680000000000005,8.71,7.653,1.974,0.528,7.915,18.166,17.15,0.0,0.0,154.959
58,GTD,Christina Nielsen,1,1:58.511,1900-01-01 00:01:58.511000,Green,Track,4.619,7.977,4.73,8.946,7.841,2.009,0.54,7.632000000000001,17.229,17.207,6.426,4.738,151.515
63,GTD,Cooper MacNeil,1,1:58.906,1900-01-01 00:01:58.906000,Green,Track,4.581,7.773,4.614,8.692,7.736000000000001,1.9969999999999999,0.536,7.61,17.152,17.332,6.3629999999999995,4.877,152.64600000000002
16,GTD,Michael Schein,1,1:59.156,1900-01-01 00:01:59.156000,Green,Track,4.463,7.672000000000001,4.758,8.774,7.747999999999999,1.9969999999999999,0.537,7.644,16.927,17.169,6.388999999999999,4.796,152.362
85,P,Robert Alon,1,1:59.453,1900-01-01 00:01:59.453000,Green,Track,6.3260000000000005,10.177999999999999,10.995999999999999,12.249,9.39,1.92,0.513,7.849,23.895,16.901,6.109,4.855,159.49
33,GTD,Ben Keating,1,1:59.687,1900-01-01 00:01:59.687000,Green,Track,4.475,8.133,4.662,8.586,7.735,2.0069999999999997,0.54,7.367000000000001,16.177,16.668,6.452000000000001,4.947,151.515
44,GTD,John Potter,1,1:59.987,1900-01-01 00:01:59.987000,Green,Track,4.478,7.856,4.623,8.67,7.835,2.024,0.5429999999999999,7.197,15.589,16.584,6.291,4.88,150.678
75,GTD,Kenny Habul,1,2:00.217,1900-01-01 00:02:00.217000,Green,Track,4.494,7.653,4.579,8.845,7.812,2.005,0.539,7.039,15.632,16.364,6.281000000000001,4.879,151.796
7,P,Helio Castroneves,2,1:15.678,1900-01-01 00:02:59.953000,Green,Track,3.8480000000000003,6.266,3.958,7.922999999999999,6.917999999999999,1.8159999999999998,0.49,6.851,14.005999999999998,13.966,5.3629999999999995,4.273,166.976
6,P,Dane Cameron,2,1:15.528,1900-01-01 00:03:00.160000,Green,Track,3.863,6.39,4.007,7.931,6.903,1.804,0.486,6.702000000000001,14.008,13.831,5.4110000000000005,4.192,168.35
77,P,Oliver Jarvis,2,1:15.666,1900-01-01 00:03:01.094000,Green,Track,3.883,6.5,4.065,8.003,7.005,1.849,0.499,6.715,13.921,13.71,5.309,4.207,163.96400000000003
55,P,Jonathan Bomarito,2,1:15.898,1900-01-01 00:03:01.766000,Green,Track,3.8819999999999997,6.582999999999999,4.1080000000000005,7.982,6.968,1.834,0.495,6.692,14.0,13.819,5.287000000000001,4.248,165.28900000000002
10,P,Renger Van Der Zande,2,1:16.164,1900-01-01 00:03:02.548000,Green,Track,3.975,6.61,4.125,7.914,7.114,1.865,0.501,6.672000000000001,13.905999999999999,13.902000000000001,5.36,4.22,163.31
5,P,Joao Barbosa,2,1:16.704,1900-01-01 00:03:03.808000,Green,Track,3.9939999999999998,6.553999999999999,4.115,8.006,7.065,1.8530000000000002,0.499,6.832999999999999,14.020999999999999,14.137,5.317,4.31,163.96400000000003
52,P,Gustavo Yacaman,2,1:16.787,1900-01-01 00:03:04.382000,Green,Track,3.986,6.629,4.0889999999999995,8.081,6.9510000000000005,1.8219999999999998,0.489,6.757000000000001,14.275,14.113,5.322,4.273,167.317
99,P,Misha Goikhberg,2,1:16.602,1900-01-01 00:03:04.912000,Green,Track,3.928,6.622999999999999,4.0680000000000005,8.213,6.956,1.808,0.485,6.781000000000001,14.164000000000001,13.95,5.3629999999999995,4.263,168.697
38,P,James French,2,1:17.169,1900-01-01 00:03:05.994000,Green,Track,3.968,6.672000000000001,4.166,8.181000000000001,6.976,1.806,0.484,6.945,14.251,13.981,5.476,4.263,169.046
31,P,Eric Curran,2,1:17.259,1900-01-01 00:03:06.441000,Green,Track,4.013,6.581,4.1930000000000005,8.231,7.154,1.86,0.5,6.93,13.997,14.05,5.484,4.266,163.636
