"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"911","GTLM","Nick Tandy","1","1:52.881","1:52.881","Green","Track","4.891","7.640","9.223","11.062","9.364","2.067","0.543","7.529","17.921","15.657","5.620","4.474","150.678"
"912","GTLM","Earl Bamber","1","1:53.979","1:53.979","Green","Track","5.560","7.871","8.164","10.469","9.153","2.044","0.539","7.463","17.887","16.244","5.733","4.663","151.796"
"54","P","Jonathan Bennett","1","1:54.505","1:54.505","Green","Track","4.657","8.546","10.228","11.606","9.250","1.919","0.508","7.807","18.230","16.916","5.847","4.709","161.059"
"25","GTLM","Alexander Sims","1","1:54.669","1:54.669","Green","Track","5.655","7.471","8.852","10.799","9.180","2.006","0.554","7.654","18.067","16.571","5.917","4.630","147.686"
"3","GTLM","Antonio Garcia","1","1:55.054","1:55.054","Green","Track","5.546","7.694","8.086","10.318","9.061","2.007","0.534","7.762","17.887","16.707","5.942","4.619","153.218"
"24","GTLM","John Edwards","1","1:55.192","1:55.192","Green","Track","4.514","8.248","9.693","11.588","9.459","2.033","0.542","7.374","19.545","16.328","5.729","4.605","150.956"
"66","GTLM","Dirk Mueller","1","1:55.563","1:55.563","Green","Track","5.363","7.955","7.336","10.387","8.911","1.997","0.547","8.054","17.985","16.439","6.073","4.736","149.576"
"67","GTLM","Ryan Briscoe","1","1:55.833","1:55.833","Green","Track","5.822","8.134","6.500","10.082","8.884","2.032","0.584","8.154","17.498","16.849","6.183","4.693","140.100"
"4","GTLM","Tommy Milner","1","1:56.118","1:56.118","Green","Track","5.469","8.423","6.011","10.035","8.848","2.051","0.545","8.018","18.093","16.491","6.068","4.718","150.125"
"15","GTD","Jack Hawksworth","1","1:56.441","1:56.441","Green","Track","5.150","8.114","6.000","9.519","8.674","2.037","0.543","8.235","17.586","17.082","6.033","4.754","150.678"
"14","GTD","Kyle Marcelli","1","1:56.697","1:56.697","Green","Track","4.584","8.193","5.749","9.693","8.606","2.062","0.550","7.948","17.811","16.936","6.004","4.739","148.760"
"86","GTD","Katherine Legge","1","1:57.165","1:57.165","Green","Track","4.878","8.084","4.753","8.835","8.207","2.016","0.543","8.103","17.880","16.942","6.095","4.764","150.678"
"48","GTD","Madison Snow","1","1:57.442","1:57.442","Green","Track","5.430","7.814","5.099","9.264","8.745","2.044","0.549","8.179","17.863","17.264","6.122","4.715","149.031"
"96","GTD","Dillon Machavern","1","1:57.711","1:57.711","Green","Track","4.725","7.749","4.563","8.783","7.798","1.978","0.534","8.163","17.912","17.202","6.151","4.701","153.218"
"93","GTD","Justin Marks","1","1:58.018","1:58.018","Green","Track","4.713","7.773","4.568","8.710","7.653","1.974","0.528","7.915","18.166","17.150","0.000","0.000","154.959"
"58","GTD","Christina Nielsen","1","1:58.511","1:58.511","Green","Track","4.619","7.977","4.730","8.946","7.841","2.009","0.540","7.632","17.229","17.207","6.426","4.738","151.515"
"63","GTD","Cooper MacNeil","1","1:58.906","1:58.906","Green","Track","4.581","7.773","4.614","8.692","7.736","1.997","0.536","7.610","17.152","17.332","6.363","4.877","152.646"
"16","GTD","Michael Schein","1","1:59.156","1:59.156","Green","Track","4.463","7.672","4.758","8.774","7.748","1.997","0.537","7.644","16.927","17.169","6.389","4.796","152.362"
"85","P","Robert Alon","1","1:59.453","1:59.453","Green","Track","6.326","10.178","10.996","12.249","9.390","1.920","0.513","7.849","23.895","16.901","6.109","4.855","159.490"
"33","GTD","Ben Keating","1","1:59.687","1:59.687","Green","Track","4.475","8.133","4.662","8.586","7.735","2.007","0.540","7.367","16.177","16.668","6.452","4.947","151.515"
"44","GTD","John Potter","1","1:59.987","1:59.987","Green","Track","4.478","7.856","4.623","8.670","7.835","2.024","0.543","7.197","15.589","16.584","6.291","4.880","150.678"
"75","GTD","Kenny Habul","1","2:00.217","2:00.217","Green","Track","4.494","7.653","4.579","8.845","7.812","2.005","0.539","7.039","15.632","16.364","6.281","4.879","151.796"
"7","P","Helio Castroneves","2","1:15.678","2:59.953","Green","Track","3.848","6.266","3.958","7.923","6.918","1.816","0.490","6.851","14.006","13.966","5.363","4.273","166.976"
"6","P","Dane Cameron","2","1:15.528","3:00.160","Green","Track","3.863","6.390","4.007","7.931","6.903","1.804","0.486","6.702","14.008","13.831","5.411","4.192","168.350"
"77","P","Oliver Jarvis","2","1:15.666","3:01.094","Green","Track","3.883","6.500","4.065","8.003","7.005","1.849","0.499","6.715","13.921","13.710","5.309","4.207","163.964"
"55","P","Jonathan Bomarito","2","1:15.898","3:01.766","Green","Track","3.882","6.583","4.108","7.982","6.968","1.834","0.495","6.692","14.000","13.819","5.287","4.248","165.289"
"10","P","Renger Van Der Zande","2","1:16.164","3:02.548","Green","Track","3.975","6.610","4.125","7.914","7.114","1.865","0.501","6.672","13.906","13.902","5.360","4.220","163.310"
"5","P","Joao Barbosa","2","1:16.704","3:03.808","Green","Track","3.994","6.554","4.115","8.006","7.065","1.853","0.499","6.833","14.021","14.137","5.317","4.310","163.964"
"52","P","Gustavo Yacaman","2","1:16.787","3:04.382","Green","Track","3.986","6.629","4.089","8.081","6.951","1.822","0.489","6.757","14.275","14.113","5.322","4.273","167.317"
"99","P","Misha Goikhberg","2","1:16.602","3:04.912","Green","Track","3.928","6.623","4.068","8.213","6.956","1.808","0.485","6.781","14.164","13.950","5.363","4.263","168.697"
"38","P","James French","2","1:17.169","3:05.994","Green","Track","3.968","6.672","4.166","8.181","6.976","1.806","0.484","6.945","14.251","13.981","5.476","4.263","169.046"
"31","P","Eric Curran","2","1:17.259","3:06.441","Green","Track","4.013","6.581","4.193","8.231","7.154","1.860","0.500","6.930","13.997","14.050","5.484","4.266","163.636"
"22","P","Johannes van Overbeek","2","1:17.212","3:07.855","Green","Track","3.965","6.685","4.147","8.163","6.932","1.818","0.489","6.666","14.455","14.029","5.543","4.320","167.317"
"2","P","Scott Sharp","2","1:18.050","3:09.953","Green","Track","3.970","6.772","4.217","8.122","7.090","1.862","0.502","6.877","14.587","14.182","5.524","4.345","162.984"
"911","GTLM","Nick Tandy","2","1:20.735","3:13.616","Green","Track","4.195","7.140","4.379","8.309","7.511","1.958","0.525","6.940","14.813","14.938","5.558","4.469","155.844"
"54","P","Jonathan Bennett","2","1:19.969","3:14.474","Green","Track","4.147","7.086","4.205","8.435","7.181","1.850","0.495","7.015","14.960","14.588","5.492","4.515","165.289"
"912","GTLM","Earl Bamber","2","1:21.491","3:15.470","Green","Track","4.342","7.253","4.441","8.518","7.511","1.958","0.526","7.141","14.864","14.886","5.567","4.484","155.548"
"25","GTLM","Alexander Sims","2","1:21.213","3:15.882","Green","Track","4.241","7.282","4.396","8.439","7.429","1.916","0.513","7.194","14.902","14.862","5.571","4.468","159.490"
"3","GTLM","Antonio Garcia","2","1:21.465","3:16.519","Green","Track","4.187","7.273","4.489","8.449","7.515","1.941","0.521","7.026","14.989","14.949","5.534","4.592","157.041"
"24","GTLM","John Edwards","2","1:21.695","3:16.887","Green","Track","4.215","7.363","4.447","8.550","7.475","1.918","0.514","7.223","14.865","15.004","5.600","4.521","159.179"
"66","GTLM","Dirk Mueller","2","1:22.397","3:17.960","Green","Track","4.358","7.320","4.478","8.333","7.522","1.941","0.521","7.319","15.022","15.366","5.556","4.661","157.041"
"67","GTLM","Ryan Briscoe","2","1:22.645","3:18.478","Green","Track","4.342","7.415","4.528","8.531","7.515","1.939","0.520","7.094","15.292","15.325","5.559","4.585","157.343"
"4","GTLM","Tommy Milner","2","1:22.655","3:18.773","Green","Track","4.326","7.315","4.559","8.582","7.468","1.929","0.515","7.209","15.251","15.245","5.753","4.503","158.870"
"15","GTD","Jack Hawksworth","2","1:22.953","3:19.394","Green","Track","4.349","7.412","4.498","8.615","7.680","1.988","0.533","7.050","15.206","15.333","5.651","4.638","153.505"
"14","GTD","Kyle Marcelli","2","1:23.297","3:19.994","Green","Track","4.367","7.506","4.513","8.620","7.660","1.977","0.529","7.189","15.184","15.477","5.633","4.642","154.666"
"85","P","Robert Alon","2","1:21.393","3:20.846","Green","Track","4.153","7.423","4.184","8.426","7.107","1.829","0.491","7.322","15.501","14.908","5.676","4.373","166.636"
"86","GTD","Katherine Legge","2","1:24.096","3:21.261","Green","Track","4.448","7.549","4.430","8.628","7.662","1.991","0.534","7.178","15.415","15.584","5.960","4.717","153.218"
"48","GTD","Madison Snow","2","1:24.315","3:21.757","Green","Track","4.452","7.582","4.483","8.577","7.677","1.988","0.533","7.277","15.514","15.674","5.879","4.679","153.505"
"96","GTD","Dillon Machavern","2","1:24.358","3:22.069","Green","Track","4.428","7.570","4.510","8.797","7.624","1.976","0.529","7.532","15.546","15.459","5.752","4.635","154.666"
"93","GTD","Justin Marks","2","1:24.421","3:22.439","Green","Track","4.416","7.505","4.493","8.795","7.698","1.987","0.532","7.518","15.519","15.514","0.000","0.000","153.794"
"58","GTD","Christina Nielsen","2","1:25.587","3:24.098","Green","Track","4.408","7.744","4.523","9.094","7.757","1.991","0.534","7.298","15.761","15.818","5.942","4.717","153.218"
"63","GTD","Cooper MacNeil","2","1:25.550","3:24.456","Green","Track","4.447","7.540","4.689","8.942","7.677","1.978","0.530","7.441","15.749","15.832","6.004","4.721","154.374"
"16","GTD","Michael Schein","2","1:25.623","3:24.779","Green","Track","4.498","7.891","4.551","8.852","7.758","2.003","0.539","7.278","15.900","15.655","6.007","4.691","151.796"
